MeterNo,MeterType,LONG,LAT,Status,Borough
1374993,Strada,-73.9290271779,40.8559188048,Active,Manhattan
1374992,Strada,-73.9285092102,40.8563009775,Active,Manhattan
1374991,Strada,-73.9288389752,40.855842447,Active,Manhattan
1374990,Strada,-73.9292590217,40.855269513,Active,Manhattan
1374989,Strada,-73.9297972329,40.8545317541,Active,Manhattan
1374988,Strada,-73.9302157265,40.8539604257,Active,Manhattan
1374987,Strada,-73.9305768329,40.8534645043,Active,Manhattan
1374986,Strada,-73.9311715074,40.8526505183,Active,Manhattan
1238231,Strada,-73.916900541,40.8693311722,Active,Manhattan
1238230,Strada,-73.9156291978,40.8701620871,Active,Manhattan
1238229,Strada,-73.9150108475,40.8706399199,Active,Manhattan
1238228,Strada,-73.9168867702,40.8691412662,Retired,Manhattan
1238227,Strada,-73.9187759961,40.8682968397,Active,Manhattan
1238232,Strada,-73.9206609977,40.8679581949,Active,Manhattan
1238233,Strada,-73.9214077904,40.8681336512,Active,Manhattan
1238234,Strada,-73.9215657987,40.8681161091,Active,Manhattan
1238236,Strada,-73.9227006291,40.8672547754,Active,Manhattan
1238235,Strada,-73.9222195681,40.8674264807,Active,Manhattan
1238226,Strada,-73.9208278232,40.8672499369,Active,Manhattan
1238225,Strada,-73.9201663432,40.8662159103,Active,Manhattan
1238224,Strada,-73.9196223375,40.8653659873,Active,Manhattan
1238223,Strada,-73.9192181954,40.8649253846,Active,Manhattan
1238221,Strada,-73.9195935627,40.863728424,Active,Manhattan
1238220,Strada,-73.9193679781,40.8640545041,Active,Manhattan
1238219,Strada,-73.9193192151,40.8646008746,Active,Manhattan
1238218,Strada,-73.9197389894,40.8652478613,Active,Manhattan
1238216,Strada,-73.9204333941,40.8663297176,Active,Manhattan
1238217,Strada,-73.9208907682,40.8665941348,Active,Manhattan
1238215,Strada,-73.920892307,40.8670465597,Active,Manhattan
1238214,Strada,-73.9217402897,40.8674117686,Active,Manhattan
1038129,Strada,-73.9707753993,40.7936599163,Active,Manhattan
1038128,Strada,-73.9711995539,40.7930813617,Active,Manhattan
